Button A: X+85, Y+71
Button B: X+21, Y+84
Prize: X=9947, Y=13426

Button A: X+20, Y+62
Button B: X+62, Y+27
Prize: X=6092, Y=7618

Button A: X+64, Y+14
Button B: X+20, Y+48
Prize: X=9128, Y=5754

Button A: X+56, Y+12
Button B: X+13, Y+49
Prize: X=1136, Y=2092

Button A: X+76, Y+51
Button B: X+37, Y+97
Prize: X=5111, Y=10286

Button A: X+86, Y+24
Button B: X+20, Y+22
Prize: X=2154, Y=1734

Button A: X+87, Y+96
Button B: X+89, Y+13
Prize: X=10425, Y=8436

Button A: X+36, Y+35
Button B: X+15, Y+88
Prize: X=3270, Y=8612

Button A: X+46, Y+82
Button B: X+93, Y+24
Prize: X=8545, Y=3748

Button A: X+72, Y+21
Button B: X+18, Y+60
Prize: X=9494, Y=9626

Button A: X+81, Y+25
Button B: X+80, Y+91
Prize: X=10929, Y=9142

Button A: X+81, Y+18
Button B: X+46, Y+67
Prize: X=5003, Y=2588

Button A: X+71, Y+34
Button B: X+22, Y+35
Prize: X=7247, Y=5134

Button A: X+71, Y+12
Button B: X+88, Y+86
Prize: X=3459, Y=798

Button A: X+96, Y+50
Button B: X+54, Y+86
Prize: X=9456, Y=6314

Button A: X+49, Y+27
Button B: X+13, Y+27
Prize: X=4994, Y=2970

Button A: X+44, Y+15
Button B: X+27, Y+40
Prize: X=5928, Y=4115

Button A: X+25, Y+59
Button B: X+60, Y+25
Prize: X=16730, Y=332

Button A: X+65, Y+15
Button B: X+12, Y+33
Prize: X=12944, Y=2786

Button A: X+59, Y+57
Button B: X+80, Y+15
Prize: X=9585, Y=3405

Button A: X+66, Y+22
Button B: X+13, Y+66
Prize: X=1717, Y=4334

Button A: X+80, Y+81
Button B: X+23, Y+96
Prize: X=3227, Y=5376

Button A: X+15, Y+39
Button B: X+73, Y+39
Prize: X=15440, Y=7868

Button A: X+59, Y+22
Button B: X+17, Y+44
Prize: X=5609, Y=3146

Button A: X+46, Y+21
Button B: X+11, Y+32
Prize: X=4973, Y=14627

Button A: X+32, Y+64
Button B: X+45, Y+14
Prize: X=6683, Y=6178

Button A: X+28, Y+42
Button B: X+88, Y+29
Prize: X=9068, Y=5774

Button A: X+84, Y+63
Button B: X+13, Y+31
Prize: X=15406, Y=13732

Button A: X+32, Y+60
Button B: X+47, Y+17
Prize: X=12321, Y=19487

Button A: X+36, Y+19
Button B: X+17, Y+34
Prize: X=4005, Y=7269

Button A: X+46, Y+17
Button B: X+54, Y+77
Prize: X=2284, Y=2042

Button A: X+63, Y+26
Button B: X+13, Y+38
Prize: X=5021, Y=14566

Button A: X+27, Y+77
Button B: X+68, Y+18
Prize: X=6392, Y=6442

Button A: X+13, Y+52
Button B: X+67, Y+31
Prize: X=5103, Y=2637

Button A: X+55, Y+73
Button B: X+80, Y+13
Prize: X=8415, Y=1944

Button A: X+31, Y+62
Button B: X+54, Y+29
Prize: X=17003, Y=19155

Button A: X+53, Y+22
Button B: X+46, Y+66
Prize: X=3732, Y=4598

Button A: X+26, Y+57
Button B: X+65, Y+31
Prize: X=16058, Y=4996

Button A: X+19, Y+50
Button B: X+96, Y+18
Prize: X=1105, Y=2204

Button A: X+36, Y+83
Button B: X+39, Y+16
Prize: X=3477, Y=3951

Button A: X+48, Y+31
Button B: X+14, Y+43
Prize: X=18770, Y=10200

Button A: X+44, Y+12
Button B: X+35, Y+81
Prize: X=15232, Y=2192

Button A: X+24, Y+51
Button B: X+57, Y+25
Prize: X=18914, Y=8198

Button A: X+99, Y+18
Button B: X+78, Y+85
Prize: X=5712, Y=2809

Button A: X+48, Y+30
Button B: X+24, Y+49
Prize: X=5048, Y=9409

Button A: X+34, Y+85
Button B: X+90, Y+14
Prize: X=10194, Y=9238

Button A: X+25, Y+72
Button B: X+26, Y+18
Prize: X=2107, Y=5670

